timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
8075.0,0.0,0.0,-1.0,0.0,0.0,0.0
8579.0,-0.06,0.25,-0.08,1.16,4.46,2.81
9087.0,-0.05,0.25,-0.09,8.24,-1.71,1.95
9593.0,-0.05,0.24,-0.04,1.53,5.0,2.32
10102.0,-0.05,0.21,-0.07,2.87,4.76,3.66
10610.0,-0.06,0.24,-0.01,3.85,7.87,2.32
11118.0,0.04,0.45,-0.11,-4.52,-4.94,26.73
11625.0,0.34,0.67,0.08,-27.65,23.74,-16.05
12131.0,-0.32,0.14,-0.28,4.33,-14.83,-44.68
12638.0,0.14,0.46,-0.26,-7.63,14.1,75.56
13145.0,-0.31,0.45,-0.01,-3.97,14.04,-41.81
13653.0,-0.22,0.31,-0.28,26.31,0.73,32.71
14160.0,0.04,-0.65,0.08,23.01,-6.53,-1.04
14667.0,-0.03,1.15,-0.74,-102.54,47.24,-16.48
15174.0,0.05,0.66,-0.31,240.36,-52.92,-64.94
15681.0,-0.19,0.5,-0.16,-67.57,2.81,5.68
16187.0,-0.1,0.85,-0.43,14.71,8.3,4.88
16694.0,-0.03,0.56,-0.26,-6.9,-21.0,-74.58
17202.0,-0.45,0.73,-0.15,-131.59,-350.65,11.23
17709.0,-0.39,0.77,-0.41,140.81,342.83,-37.84
18215.0,-0.2,0.85,-1.29,-220.83,-379.33,-9.4
18722.0,-0.65,1.02,-1.6,23.56,45.59,-6.77
19229.0,0.63,0.4,-0.27,-88.68,-195.86,70.98
19735.0,-0.08,0.91,-1.61,23.25,19.29,-11.41
20242.0,-0.3,0.9,-0.2,-225.46,-248.29,79.83
20749.0,0.53,0.05,-1.76,16.11,18.37,30.27
21255.0,0.59,0.33,0.51,133.06,132.14,-7.14
21761.0,0.56,0.29,-0.65,-74.77,59.88,-109.99
22267.0,0.04,0.55,-0.5,-21.3,104.19,-124.69
22773.0,-0.03,0.45,-1.25,-24.72,40.95,101.5
23280.0,-0.15,-0.27,0.03,-82.82,276.73,-235.41
23787.0,0.42,0.33,-0.37,-498.05,84.05,218.93
24294.0,-0.74,0.39,-1.75,135.01,-79.77,-21.12
24801.0,0.66,-0.84,0.16,99.55,-16.36,-86.0
25308.0,0.54,0.42,-0.57,289.67,-2.69,-147.22
25816.0,0.47,-1.07,-0.11,-337.04,51.45,114.01
26322.0,-0.73,0.55,-1.71,149.96,-35.58,-66.41
26828.0,-0.27,0.89,-0.08,9.58,-38.57,-25.27
27335.0,-0.17,0.26,-0.04,0.79,11.35,8.67
27842.0,-0.05,0.38,-0.07,5.74,2.01,-7.32
